name,type,producer,brand,potency,thc_min,thc_max,cbd_min,cbd_max,price,price_per_gram,grams
OS.Reserve Indica,Indica Dominant,Hexo Operations,Original Stash,5,20.0,26.0,0.0,1.0,87.95,6.28,14
OS.Reserve Indica,Indica Dominant,Hexo Operations,Original Stash,5,20.0,26.0,0.0,1.0,149.95,5.36,28
Afghan Kush,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,18.0,22.0,0.0,0.5,22.95,6.56,3.5
Afghan Kush,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,18.0,22.0,0.0,0.5,42.70,6.10,7
Afghan Kush,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,18.0,22.0,0.0,0.5,77.10,5.51,14
D. Bubba,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,17.0,23.0,0.0,1.0,22.95,6.56,3.5
D. Bubba,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,17.0,23.0,0.0,1.0,42.70,6.10,7
D. Bubba,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,17.0,23.0,0.0,1.0,77.10,5.51,14
Polar Kish,Indica Dominant,Northern Green Canada,Northern Green Canada,5,14.0,20.0,0.0,1.0,19.75,5.64,3.5
Black Cherry Punch,Indica Dominant,Redecan,Redecan,5,20.0,26.0,0.0,1.0,7.50,7.50,1
Black Cherry Punch,Indica Dominant,Redecan,Redecan,5,20.0,26.0,0.0,1.0,23.65,6.76,3.5
Black Cherry Punch,Indica Dominant,Redecan,Redecan,5,20.0,26.0,0.0,1.0,79.30,5.66,14
Lilac Diesel,Sativa Dominant,Redecan,Redecan,5,17.0,23.0,0.0,1.0,7.50,7.50,1
Lilac Diesel,Sativa Dominant,Redecan,Redecan,5,17.0,23.0,0.0,1.0,23.65,6.76,3.5
Lilac Diesel,Sativa Dominant,Redecan,Redecan,5,17.0,23.0,0.0,1.0,79.30,5.66,14
Outlaw,Sativa Dominant,Redecan,Redecan,5,18.0,24.0,0.0,0.1,7.50,7.50,1
Outlaw,Sativa Dominant,Redecan,Redecan,5,18.0,24.0,0.0,0.1,23.65,6.76,3.5
Outlaw,Sativa Dominant,Redecan,Redecan,5,18.0,24.0,0.0,0.1,43.75,6.25,7
Outlaw,Sativa Dominant,Redecan,Redecan,5,18.0,24.0,0.0,0.1,84.95,5.66,15
Wappa,Indica Dominant,Redecan,Redecan,5,19.0,25.0,0.0,0.1,7.50,7.50,1
Wappa,Indica Dominant,Redecan,Redecan,5,19.0,25.0,0.0,0.1,23.65,6.76,3.5
Wappa,Indica Dominant,Redecan,Redecan,5,19.0,25.0,0.0,0.1,43.75,6.25,7
Wappa,Indica Dominant,Redecan,Redecan,5,19.0,25.0,0.0,0.1,84.95,5.66,15
Tsunami,Indica Dominant,Hexo Operations,Hexo,5,20.0,26.0,0.0,1.0,28.95,8.27,3.5
Tsunami,Indica Dominant,Hexo Operations,Hexo,5,20.0,26.0,0.0,1.0,169.95,5.67,30
Flo,Hybrid,Emblem Cannabis,Divvy,5,20.0,26.0,0.0,1.0,19.95,5.70,3.5
The Adventurer,Indica Dominant,Natural MedCo,Eve & Co.,5,16.0,20.0,0.0,1.0,19.95,5.70,3.5
Ghost Train Haze,Sativa Dominant,Sensi Brands,Station House,5,18.0,22.0,0.01,0.2,79.95,5.71,14
Blue Dream,Sativa Dominant,Sensi Brands,Station House,5,18.0,22.0,0.0,0.5,79.95,5.71,14
OG Kush,Indica Dominant,Sensi Brands,Station House,5,18.0,22.0,0.0,0.2,79.95,5.71,14
Muskoka Kush,Indica Dominant,Muskoka Grown Limited,Muskoka Grown,5,20.0,24.0,0.0,1.0,79.95,5.71,14
Subway Scientist,Indica Dominant,Aphria,RIFF,5,19.0,25.0,0.0,1.0,8.95,8.95,1
Subway Scientist,Indica Dominant,Aphria,RIFF,5,19.0,25.0,0.0,1.0,29.95,8.56,3.5
Subway Scientist,Indica Dominant,Aphria,RIFF,5,19.0,25.0,0.0,1.0,55.70,7.96,7
Subway Scientist,Indica Dominant,Aphria,RIFF,5,19.0,25.0,0.0,1.0,159.95,5.71,28
Hell Cat 33,Hybrid,Aphria,RIFF,5,18.0,24.0,0.0,2.0,32.95,9.41,3.5
Hell Cat 33,Hybrid,Aphria,RIFF,5,18.0,24.0,0.0,2.0,159.95,5.71,28
White Rhino,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,18.0,22.0,0.0,1.0,22.95,6.56,3.5
White Rhino,Indica Dominant,Pure Sunfarms,Pure Sunfarms,5,18.0,22.0,0.0,1.0,42.70,6.10,7
