name,type,producer,brand,potency,thc_min,thc_max,cbd_min,cbd_max,price,price_per_gram,grams
Strawberry Cake,Indica Dominant,AgMedica Bioscience,Vertical Cannabis,5,20.0,26.0,0.0,1.0,28.95,8.27,3.5
Wedding Cake,Hybrid,Peace Naturals Project,Spinach,5,20.0,29.7,0.0,1.0,28.95,8.27,3.5
Slurri Crasher,Indica Dominant,Tantalus Labs,Tantalus Labs,5,18.0,22.0,0.0,1.0,28.95,8.27,3.5
Blue Dream,Sativa Dominant,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,2.0,28.95,8.27,3.5
Dancehall,Sativa Dominant,Peace Naturals Project,Spinach,2,4.0,10.0,6.0,12.0,28.95,8.27,3.5
White Widow,Hybrid,Peace Naturals Project,Spinach,5,18.0,24.0,0.0,1.0,28.95,8.27,3.5
French Macaron,Indica Dominant,JC Green Cannabis,Jonny Chronic,5,21.0,27.0,0.0,1.99,57.95,8.28,7
Amsterdam Sativa,Sativa Dominant,The Green Organic Dutchman,Highly Dutch Organic,5,19.0,26.0,0.0,2.0,29.95,8.56,3.5
Chocolate Mint OG,Indica Dominant,AB Laboratories,Steel City Green,5,19.0,25.0,0.0,1.0,29.95,8.56,3.5
Pink Grapefruit Haze,Sativa Dominant,Canntrust,Synr.g,5,16.0,22.0,0.0,2.0,29.95,8.56,3.5
Social (Mango),Sativa Dominant,Fleurish Cannabis,Fleurish,5,18.0,24.0,0.0,2.0,29.95,8.56,3.5
Green Crush,Sativa Dominant,Delshen Therapeutics,48North,5,18.0,25.0,0.0,1.0,29.95,8.56,3.5
Grapefruit GG1,Hybrid,Emerald Health Therapeutics,Emerald,5,17.0,23.0,0.0,1.0,29.95,8.56,3.5
Chemdog,Sativa Dominant,Emerald Health Therapeutics,Emerald,5,18.0,23.0,0.0,1.0,29.95,8.56,3.5
Blue Gorilla,Hybrid,Muskoka Grown Limited,Muskoka Grown,4,13.0,19.0,0.0,1.0,29.95,8.56,3.5
Pacific OG,Sativa Dominant,Tantalus Labs,Tantalus Labs,5,22.0,28.0,0.0,1.0,29.95,8.56,3.5
Kalifornia,Indica Dominant,Kolab Project,Kolab Project,5,23.0,28.0,0.0,1.0,39.95,11.41,3.5
Kalifornia,Indica Dominant,Kolab Project,Kolab Project,5,23.0,28.0,0.0,1.0,119.95,8.57,14
White Widow,Hybrid,7ACRES,7ACRES,5,16.0,22.0,0.0,1.0,32.95,9.41,3.5
White Widow,Hybrid,7ACRES,7ACRES,5,16.0,22.0,0.0,1.0,61.30,8.76,7
